 Copyright (C) 2011 ASIP Solutions, Inc. All rights reserved. 
6/29/21 2:46 AM : "Main menu" start.
6/29/21 2:46 AM : Load file "ASIPmeisterStd.ini".
6/29/21 2:46 AM : Load file "browstd32.pdb".
6/29/21 2:46 AM : Query "parameter(pcu,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(alu,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(multiplier,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(divider,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(shifter,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(wire_in,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(wire_out,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(browregfile,synthesis)" finished as normally.
6/29/21 2:46 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:46 AM : "Resource Declaration" start browse.
6/29/21 2:47 AM : Query "search()" finished as normally.
6/29/21 2:47 AM : Query "search()" finished as normally.
6/29/21 2:47 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:47 AM : Query "function(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:47 AM : Query "portinfo(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:47 AM : "Resource Declaration" finish browse.
6/29/21 2:47 AM : Query "parameter(pcu,synthesis)" finished as normally.
6/29/21 2:47 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 2:47 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 2:47 AM : Query "parameter(mifu,synthesis)" finished as normally.
6/29/21 2:47 AM : Query "parameter(alu,synthesis)" finished as normally.
6/29/21 2:47 AM : Query "parameter(multiplier,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(divider,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(shifter,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(wire_in,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(wire_out,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(register,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(fwu,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(dummy_register,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(browregfile,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "parameter(extender,synthesis)" finished as normally.
6/29/21 2:48 AM : "Resource Declaration" start browse.
6/29/21 2:48 AM : Query "search()" finished as normally.
6/29/21 2:48 AM : Query "search()" finished as normally.
6/29/21 2:48 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "function(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:48 AM : Query "portinfo(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:48 AM : Query "parameter(stepsize,synthesis)" finished as normally.
6/29/21 2:48 AM : Query "function(stepsize,synthesis,bit_width=4)" finished as normally.
6/29/21 2:48 AM : Query "portinfo(stepsize,synthesis,bit_width=4)" finished as normally.
