Sample in Buffer	Sample in Window	instrAB	instrDB	dataAB_cpu	dataDBo_cpu	dataDBi_cpu	selector	wmode_cpu	finish	datarw_cpu	datareq_cpu	dataae_cpu	dataack_cpu	cancel_cpu	dataack_mem	datareq_mem	emode_cpu	dataack_ports(2)	datareq_ports(2)	enb
0	0	0000	00010420	00000	0000	00000000	7	0	1	0	0	0	0	0	0	0	0	0	0	0	
1	1	0000	00010420	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	2	0000	00010420	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	3	3000	84204081	03800	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	4	3004	0000040E	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	5	3008	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	6	300C	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	7	0000	00010420	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	8	0004	00008428	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	9	0008	00008144	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	10	000C	00000000	00001	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	11	0010	00000000	10000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	12	0014	00000000	10000	0000	00000000	7	3	0	0	1	0	0	0	0	1	0	0	0	0	
13	13	0014	00000000	10000	0000	00000000	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
14	14	0014	00000000	10000	0000	0000EFFC	7	3	0	0	0	0	0	0	0	0	0	0	0	1	
15	15	0014	00000000	10000	0000	0000EFFC	7	3	0	0	0	0	1	0	1	0	0	0	0	1	
16	16	0018	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	17	001C	00000420	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	18	0020	01CC8428	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	19	0024	00042961	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	20	0028	00001947	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	21	002C	00000000	001CC	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	22	0030	00000000	0EFF8	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	23	0034	00000000	0EFF8	0000	0000EFFC	7	3	0	1	1	0	0	0	0	1	0	0	0	0	
24	24	0034	00000000	0EFF8	0000	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
25	25	0034	00000000	0EFF8	0000	0000EFFC	7	3	0	1	0	0	0	0	0	0	0	0	0	1	
26	26	0034	00000000	0EFF8	0000	0000EFFC	7	3	0	1	0	0	1	0	1	0	0	0	0	1	
27	27	0038	00000000	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	28	003C	03000863	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	29	0040	0000040F	00000	0000	00000000	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
